Date,Count
2020-03-01,0
2020-03-02,2
2020-03-03,1
2020-03-04,4
2020-03-05,1
2020-03-07,4
2020-03-08,1
2020-03-09,5
2020-03-10,2
2020-03-11,6
2020-03-12,5
2020-03-13,20
2020-03-14,40
2020-03-15,31
2020-03-16,27
2020-03-17,62
2020-03-18,99
2020-03-19,76
2020-03-20,142
2020-03-21,203
2020-03-22,298
2020-03-23,176
2020-03-24,283
2020-03-25,498
2020-03-26,535
2020-03-27,659
2020-03-28,704
2020-03-29,876
2020-03-30,852
2020-03-31,904
2020-04-01,1032
2020-04-02,1269
2020-04-03,1282
2020-04-04,1148
2020-04-05,764
2020-04-06,1160
2020-04-07,1007
2020-04-08,1044
2020-04-09,1033
2020-04-10,1088
2020-04-11,1064
2020-04-12,810
2020-04-13,921
2020-04-14,592
2020-04-15,898
2020-04-16,1199
2020-04-17,1083
2020-04-18,741
2020-04-19,713
2020-04-20,749
2020-04-21,858
2020-04-22,699
2020-04-23,1212
2020-04-24,735
2020-04-25,796
2020-04-26,519
2020-04-27,753
2020-04-28,343
2020-04-29,514
2020-04-30,978
2020-05-01,706
2020-05-02,631
2020-05-03,768
2020-05-04,575
2020-05-05,581
2020-05-06,626
2020-05-07,344
2020-05-08,766
2020-05-09,681
2020-05-10,384
2020-05-11,606
2020-05-12,800
2020-05-13,794
2020-05-14,787
2020-05-15,480
2020-05-16,1134
2020-05-17,655
2020-05-18,613
2020-05-19,475
2020-05-20,1191
2020-05-21,726
2020-05-22,732
2020-05-23,545
2020-05-24,981
2020-05-25,503
2020-05-26,476
2020-05-27,613
2020-05-28,1222
2020-05-29,752
2020-05-30,870
2020-05-31,702
2020-06-01,602
2020-06-02,1208
2020-06-03,1265
2020-06-04,1022
2020-06-05,1248
2020-06-06,1392
2020-06-07,1025
2020-06-08,1150
2020-06-09,1232
2020-06-10,1670
2020-06-11,1640
2020-06-12,2321
2020-06-13,2126
2020-06-14,1767
2020-06-15,2694
2020-06-16,2418
2020-06-17,2699
2020-06-18,3319
2020-06-19,4014
2020-06-20,4640
2020-06-21,2761
2020-06-22,3831
2020-06-23,5505
2020-06-24,5022
2020-06-25,8876
2020-06-26,9580
2020-06-27,8401
2020-06-28,5408
2020-06-29,6065
2020-06-30,6605
2020-07-01,9558
