EventDate,Count
2019-12-31,3
2020-01-03,2
2020-01-05,2
2020-01-11,1
2020-01-13,2
2020-01-14,6
2020-01-17,1
2020-01-18,1
2020-01-19,5
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-26,1
2020-01-29,1
2020-01-30,3
2020-01-31,9
2020-02-01,3
2020-02-02,2
2020-02-03,3
2020-02-04,2
2020-02-05,4
2020-02-06,2
2020-02-07,1
2020-02-08,1
2020-02-09,4
2020-02-10,1
2020-02-11,5
2020-02-12,3
2020-02-13,6
2020-02-14,9
2020-02-15,2
2020-02-16,5
2020-02-17,7
2020-02-18,5
2020-02-19,10
2020-02-20,6
2020-02-21,10
2020-02-22,7
2020-02-23,9
2020-02-24,13
2020-02-25,7
2020-02-26,8
2020-02-27,22
2020-02-28,13
2020-02-29,75
2020-03-01,44
2020-03-02,46
2020-03-03,51
2020-03-04,71
2020-03-05,79
2020-03-06,88
2020-03-07,87
2020-03-08,162
2020-03-09,241
2020-03-10,265
2020-03-11,270
2020-03-12,380
2020-03-13,399
2020-03-14,590
2020-03-15,694
2020-03-16,732
2020-03-17,783
2020-03-18,671
2020-03-19,973
2020-03-20,694
2020-03-21,660
2020-03-22,985
2020-03-23,773
2020-03-24,923
2020-03-25,821
2020-03-26,899
2020-03-27,834
2020-03-28,747
2020-03-29,1016
2020-03-30,808
2020-03-31,1096
2020-04-01,884
2020-04-02,885
2020-04-03,840
2020-04-04,789
2020-04-05,993
2020-04-06,798
2020-04-07,786
2020-04-08,764
2020-04-09,938
2020-04-10,685
2020-04-11,594
2020-04-12,769
2020-04-13,653
2020-04-14,837
2020-04-15,759
2020-04-16,754
2020-04-17,625
2020-04-18,538
2020-04-19,842
2020-04-20,625
2020-04-21,651
2020-04-22,783
2020-04-23,665
2020-04-24,582
2020-04-25,499
2020-04-26,682
2020-04-27,623
2020-04-28,586
2020-04-29,640
2020-04-30,755
2020-05-01,596
2020-05-02,481
2020-05-03,593
2020-05-04,619
2020-05-05,578
2020-05-06,666
2020-05-07,613
2020-05-08,531
2020-05-09,625
2020-05-10,606
2020-05-11,663
2020-05-12,751
2020-05-13,840
2020-05-14,500
2020-05-15,519
2020-05-16,467
2020-05-17,450
2020-05-18,436
2020-05-19,521
2020-05-20,512
2020-05-21,520
2020-05-22,498
2020-05-23,408
2020-05-24,342
2020-05-25,289
2020-05-26,18
